cpus=4
       plymouthd-266   [001] 22650.162442: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162443: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162450: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162450: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162452: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162452: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162455: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162455: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162457: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162457: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162460: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162460: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162462: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162462: sys_exit_ioctl:       0xfffffffffffffff7
       plymouthd-266   [001] 22650.162465: sys_enter_ioctl:      fd: 0xffffffffffffffff, cmd: 0x00004b3a, arg: 0x00000000
       plymouthd-266   [001] 22650.162465: sys_exit_ioctl:       0xfffffffffffffff7
 inference_drive-203126 [002] 22650.196837: sys_enter_ioctl:      fd: 0x00000002, cmd: 0x00005401, arg: 0xfffff5297700
 inference_drive-203126 [002] 22650.196843: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.196993: sys_enter_ioctl:      fd: 0x00000001, cmd: 0x00005401, arg: 0xfffff5297540
 inference_drive-203126 [002] 22650.196993: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.211891: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x400c6702, arg: 0xfffff5295a78
 inference_drive-203126 [002] 22650.211895: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.211897: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x40176701, arg: 0xfffff5295a98
 inference_drive-203126 [002] 22650.211899: sys_exit_ioctl:       0x0
 inference_drive-203129 [000] 22650.212102: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x45e46e01, arg: 0xffff943fbd20
 inference_drive-203126 [002] 22650.212106: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5293da0
          <idle>-0     [000] 22650.212196: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.212242: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.212262: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x4001760c, arg: 0xfffff52964b0
 inference_drive-203126 [002] 22650.212263: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.230182: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5294b80
          <idle>-0     [000] 22650.230296: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.230340: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.230355: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff52947e0
          <idle>-0     [000] 22650.230462: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.230501: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.230504: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x4001760c, arg: 0xfffff52965c0
 inference_drive-203126 [002] 22650.230505: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.230517: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5294a00
          <idle>-0     [000] 22650.230593: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.230607: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.230613: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5294930
          <idle>-0     [000] 22650.235004: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.235019: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.235295: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5292560
 inference_drive-203126 [002] 22650.235620: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.235647: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5292560
 inference_drive-203126 [002] 22650.235684: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.235780: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc0287604, arg: 0xfffff5291ad8
 inference_drive-203126 [002] 22650.235899: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.235928: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5290f50
 language_server-158532 [000] 22650.235998: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.236022: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.236124: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff52912a0
          <idle>-0     [000] 22650.236193: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.236213: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.236221: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5291b40
 inference_drive-203126 [002] 22650.236274: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.236276: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5291eb8
 inference_drive-203126 [002] 22650.236279: sys_exit_ioctl:       0xc5
 inference_drive-203126 [002] 22650.236282: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5292208
 inference_drive-203126 [002] 22650.236283: sys_exit_ioctl:       0xc4
 inference_drive-203126 [002] 22650.236289: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5291b40
 inference_drive-203126 [002] 22650.236329: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.236330: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5291eb8
 inference_drive-203126 [002] 22650.236331: sys_exit_ioctl:       0x32
 inference_drive-203126 [002] 22650.236333: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5292208
 inference_drive-203126 [002] 22650.236333: sys_exit_ioctl:       0x31
 inference_drive-203126 [002] 22650.236446: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc0287604, arg: 0xfffff5291718
 inference_drive-203126 [002] 22650.239968: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.239973: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5291ae0
 inference_drive-203126 [002] 22650.240059: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.240062: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5291e58
 inference_drive-203126 [002] 22650.240089: sys_exit_ioctl:       0x29d1
 inference_drive-203126 [002] 22650.240118: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc0287604, arg: 0xfffff5291718
 inference_drive-203126 [002] 22650.243710: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.243720: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff5291ae0
 inference_drive-203126 [002] 22650.243821: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.243823: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80337609, arg: 0xfffff5291e58
 inference_drive-203126 [002] 22650.243852: sys_exit_ioctl:       0x28fd
 inference_drive-203126 [002] 22650.243884: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc5f86e00, arg: 0xfffff5290c10
          <idle>-0     [000] 22650.243953: irq_handler_entry:    irq=188 name=hailo
 inference_drive-203126 [002] 22650.243976: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.243984: sys_enter_ioctl:      fd: 0x00000005, cmd: 0xc01b7607, arg: 0xfffff52914b0
 inference_drive-203126 [002] 22650.244017: sys_exit_ioctl:       0x0
